Título;Texto
Copasa passa a integrar o índice Ibovespa da B3;A Companhia de Saneamento de Minas Gerais (Copasa MG) ingressou, nesta segunda-feira (5), no Ibovespa, o principal índice de desempenho das ações negociadas na B3. A inclusão das ações ordinárias da companhia (CSMG3) na carteira tem vigência estabelecida até 30 de abril de 2026 e marca o reconhecimento do mercado financeiro à relevância da empresa no cenário nacional. A entrada no Ibovespa distingue-se da listagem comum na B3, da qual a Copasa faz parte desde 2006, por reunir apenas o grupo seleto de ativos com maior liquidez na Bolsa. Para a companhia, a entrada no índice é um vetor estratégico que amplia a visibilidade institucional e consolida um ciclo de amadurecimento na relação com o mercado, posicionando-a em um novo patamar de exposição na bolsa brasileira. Além do Ibovespa, a Copasa mantém presença consolidada em outros indicadores da B3, como o Índice de Dividendos (IDIV), o Índice de Sustentabilidade Empresarial (ISE), o Índice de Governança Corporativa Trade (IGCT) e o Índice de Carbono Eficiente (ICO2). 
Copasa avança na agenda climática e integra índice ICO2 B3, referência na transição energética no Brasil;A Copasa foi incluída na carteira 2026 do Índice Carbono Eficiente (ICO2 B3), iniciativa da B3 que reúne empresas com melhor desempenho na gestão de emissões de gases de efeito estufa (GEE) e práticas sustentáveis. Essa conquista posiciona a companhia como referência no setor, alinhada às metas globais de transição energética e ao Acordo de Paris.Para integrar o ICO2 B3, a Copasa atendeu a todos os critérios estabelecidos pela metodologia do índice, incluindo:• Eficiência no coeficiente emissão/receita, figurando entre as empresas mais eficientes do subsetor. Score de Gestão de Emissões (SGEE) superior à média do segmento, resultado da adoção de práticas robustas de governança climática. Implementação de seis práticas de gestão de emissões, acima do mínimo exigido, como supervisão pelo Conselho, metas climáticas e reporte alinhado a padrões internacionais (TCFD/IFRS).A Copasa se destacou como a empresa mais eficiente do subsetor Água e Saneamento, apresentando um coeficiente emissão/receita de 0,08532. Além disso, seu Score de Gestão de Emissões (SGEE) atingiu 66 pontos, superando a média do subsetor (61,44). Esses resultados reforçam a liderança da companhia na gestão climática e sua capacidade de conduzir iniciativas sustentáveis no setor de saneamento básico.Segundo a B3, o ICO2 é um indicador que valoriza empresas comprometidas com a redução de carbono e a transparência na divulgação de dados ESG. A presença da Copasa no índice reforça o compromisso com a sustentabilidade e a inovação, contribuindo para um futuro de baixo carbono e para a geração de valor.O reconhecimento também fortalece a credibilidade da Copasa junto ao mercado e investidores, evidenciando sua estratégia de longo prazo para mitigação de riscos climáticos e promoção de práticas responsáveis.
Copasa celebra sucesso de público na Virada da Liberdade e reforça compromisso com a cultura mineira;Realizado pelo Governo de Minas e pela Secretaria de Estado de Cultura e Turismo (Secult), evento contou com patrocínio da Copasa e reuniu 30 mil pessoas na Praça da Liberdade.A Praça da Liberdade reafirmou-se, na última noite de 2025, como o principal palco da celebração de Ano Novo em Minas Gerais. Com o patrocínio da Copasa e realizado pela Secretaria de Estado de Cultura e Turismo de Minas Gerais (Secult), a quarta edição da Virada da Liberdade reuniu milhares de pessoas em uma festa marcada pela integração entre tecnologia, música e a identidade do estado.O evento, que contou com um palco cenográfico imponente e apresentações de artistas como Juarez Moreira, Lagum, Aline Calixto e Biquini, teve como ponto alto o show de centenas de drones. Sincronizados, os equipamentos desenharam no céu símbolos da mineiridade, celebrando a chegada de 2026.
Copasa alerta para consumo consciente de água durante onda de calor e chuvas esparsas;Em Minas, alguns municípios, incluindo a Região Metropolitana de Belo Horizonte (RMBH), têm enfrentado intermitências em razão do aumento abrupto do consumo. Diante de ondas de calor e altas temperaturas, há uma tendência de elevação do consumo de água e isso pode gerar um desequilíbrio dos sistemas   de abastecimento.Nos últimos anos a Copasa vem incrementando sua capacidade de atendimento aos picos de demanda e, consequentemente, reduzindo os eventos de racionamento, tendo investido nos últimos 7 anos mais de R$ 9 bilhões, e programa investir nos próximos 5 anos R$ 21 bilhões em ações de esgotamento, de ampliação da capacidade de produção de água potável, sendo R$ 3,7 bilhões só em redução de perdas.Até o momento, os municípios não correm risco de desabastecimento, mas para que o sistema de fornecimento de água siga acontecendo, a Copasa faz um chamado à população para adotar medidas que evitem o desperdício de água. Atitudes simples podem garantir que a população mineira passe esse período em situação melhor que outros estados.
Marília Carvalho de Melo assume presidência da Copasa;"A Companhia de Saneamento de Minas Gerais (Copasa) tem uma nova presidente. Marília Carvalho de Melo assume o cargo com o objetivo de liderar o processo de desestatização da empresa e acelerar a universalização do saneamento no estado. Marília substitui Fernando Passalio, que estava à frente da concessionária desde fevereiro deste ano. “É um orgulho enorme estar à frente da Copasa. Temos um grande desafio pela frente que é dar continuidade ao processo de modernização e crescimento da Companhia, preparando para a desestatização. E vamos manter o foco e o diálogo com quem constrói essa empresa diariamente, que são os empregados da companhia, para que saibam da importância do trabalho de todos para o futuro do saneamento em Minas”, destacou a presidente. Com sólida trajetória na gestão ambiental e de recursos hídricos, Marília possui graduação em engenharia civil pela Universidade Federal de Minas Gerais (UFMG). Ela também tem mestrado em saneamento, meio ambiente e recursos hídricos pela mesma instituição; além de ser doutora em recursos hídricos pelo Programa de Engenharia Civil (PEC) do Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia (Coppe) da Universidade Federal do Rio de Janeiro (UFRJ). Exerceu, além da docência, a coordenação do curso de mestrado profissional de sustentabilidade em recursos hídricos na Universidade Vale do Rio Verde (UninCor). A nova presidente da Copasa também foi professora de hidrologia na Escola de Engenharia Kennedy (EEK). Servidora de carreira do Sistema Estadual de Meio Ambiente e Recursos Hídricos (SISEMA) desde 2006, antes de sua nomeação para a Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável (Semad), onde se consagrou como a primeira mulher a comandar a pasta, atuou como diretora-geral do Instituto Mineiro de Gestão das Águas (Igam) em duas oportunidades."
Copasa investe R$ 1,8 milhão para otimizar pressão da água no Alto Paranaíba;A Copasa investiu mais de R$ 1,8 milhão no sistema de abastecimento de água dos municípios de Araxá, Conquista, Perdizes, São Gotardo e Tapira, no Alto Paranaíba. O aporte tem como finalidade aprimorar a gestão de pressão nas redes de fornecimento. As intervenções, que ocorreram ao longo de 2025, beneficiarão mais de 180 mil pessoas. Leandro Cruz, gerente regional, detalhou os benefícios. “Essa operação permite que os clientes tenham um fluxo de água ainda mais estável e adequado. Isso facilita a realização de tarefas diárias, como lavar roupas ou limpar a casa. Essa estabilidade também aumenta a durabilidade do nosso sistema hidráulico”, destacou. A iniciativa ainda favorece a prevenção de vazamentos, permitindo que equipes operacionais sejam direcionadas para outras frentes de serviços. Além disso, a equalização da pressão contribui para um menor consumo de eletricidade. Juntos, esses fatores ajudam na preservação ambiental, uma vez que ocorre menor extração de água dos mananciais. Leonardo Sobral, técnico de Projetos e Obras, explicou na prática o papel dos dispositivos. “A água é distribuída com pressão compatível com a legislação. Se ocorre algum tipo de interrupção, ao ser restabelecida, nossas redes, principalmente as mais antigas, percebem uma certa fadiga natural, o que pode causar seu rompimento. Com essa gestão, nós reduzimos esse risco de vazamentos”, disse. Foram instaladas 45 válvulas controladoras de vazão em pontos estratégicos dos citados municípios. Os equipamentos são capazes de distribuir para os clientes a água que passa pelas tubulações da Companhia de maneira uniforme. Dessa forma, os imóveis recebem água com a mesma quantidade e pressão, independente se estão localizados em partes baixas ou altas.
Abastecimento de água é universalizado em distrito do Vale do Rio Doce;A Copasa concluiu neste mês de dezembro as obras de implantação do sistema de abastecimento de água em Novo Horizonte, distrito pertencente ao município de Inhapim, localizado no Vale do Rio Doce. Durante os trabalhos, foram investidos mais de R$ 2,7 milhões no empreendimento que beneficiará cerca de 460 pessoas na região. O índice de cobertura do serviço de abastecimento de água da Copasa em Novo Horizonte (Inhapim) teve um grande salto, saindo de 0% antes dos trabalhos para 99% após a conclusão das obras. O Marco Legal do Saneamento no país determina que, para universalizar este serviço em um município, é necessário alcançar o mínimo de 99% até dezembro de 2033. Essas áreas rurais estão sendo atendidas pelo programa Universaliza Minas da Copasa, iniciativa que visa garantir saneamento em mais de 330 localidades do Estado, a fim de atingir as metas do Novo Marco. Por meio do programa, estão sendo investidos R$ 400 milhões para beneficiar cerca de 320 mil pessoas da zona rural nos municípios onde a Copasa detém concessão. No andamento das obras foram construídos um poço de captação de água profundo, uma adutora de água bruta de aproximadamente 1.065 metros de comprimento para condução da água captada até à Estação de Tratamento de Água (ETA) que também foi confeccionada na região. Ainda foram produzidos um reservatório com capacidade de armazenar até 30 mil litros de água, uma rede com cerca de 3.485 metros para distribuir a água tratada aos imóveis na localidade, bem como a execução de 191 ligações prediais de água.
Copasa entrega panetones à instituição filantrópica de Frutal;Os integrantes do Programa de Voluntários da Copasa realizaram mais uma ação de Natal. Para tornar a data ainda mais doce e mágica, na última quarta-feira (17/12) os empregados presentearam com panetones os internos da Casa da Criança Santo Antônio de Pádua, em Frutal, no Pontal do Triângulo. Representando a Companhia e arrancando sorrisos do público infanto-juvenil, estiveram no local os assistentes administrativos Leonara Batista, Eliomarcos Oliveira e Márcio Lamarque. A ação ainda teve apoio de Mário Piazza, que também é representante da equipe de desenvolvimento social. 158 panetones foram entregues. Leonara falou sobre a ação. “Um gesto simples, mas sincero, que fez com que as crianças se sentissem acolhidas. Mais uma vez estamos reiterando, por meio do nosso papel como cidadãos, nossa preocupação com a sociedade. É gratificante ver a alegria autêntica deles”, pontuou. Irmã Maria de Lourdes Fonseca, diretora administrativa da instituição, agradeceu. “Ações como essas têm uma relevância significativa para nosso projeto. Elas nos fazem entender que a luta vale a pena e que não estamos sozinhos. Em nome da Casa da Criança, dos colaboradores e da diretoria, quero externar minha gratidão aos que participaram. Deus abençoe a todos”. A atividade foi idealizada a partir do Programa Voluntários da Copasa, uma iniciativa estratégica, coordenada pela Gerência de Desenvolvimento Social, que promove o engajamento de empregados(as) voluntários(as) em ações sociais relevantes. Alinhado às necessidades das comunidades, o programa proporciona a troca de conhecimentos, recursos e experiências, gerando impactos positivos para todos os envolvidos. A mobilização da Copasa também faz parte do Programa Engajar para Transformar, cujo objetivo é estreitar o relacionamento com seus clientes por meio de um atendimento humanizado, empático e direcionado às necessidades da população.
Copasa abraça Natal Solidário e fortalece vínculo com comunidades de Araxá;Em apoio a mais uma ação social, a Copasa marcou presença no tradicional Natal Solidário, em Araxá, neste sábado (20/12). Realizado desde 2008, o evento reúne famílias dos bairros Aeroporto, Cincinato de Ávila e arredores em um momento de interação entre os moradores e descontração para as crianças. Dezenas de araxaenses participaram da festividade, realizada das 9h às 13h, na rua Nélio Roberto Guimarães. O público infantil se divertiu com a grande variedade de brinquedos. Os empregados da Copasa se mobilizaram para arrecadar doces, pipocas e copos para a realização do encontro. Wesley Meireles, assistente administrativo e representante da equipe de Desenvolvimento Social falou sobre o evento. “É uma forma de fortalecer o senso comunitário, promover maior proximidade com a população e tornar mais feliz o Natal das crianças”, afirmou. A coordenadora do projeto, Claudete Marques, agradeceu a colaboração. “A participação da Copasa e de outras empresas apoiadoras é muito importante. É por meio das parcerias que conseguimos promover essas atividades. Quanto mais pessoas e instituições abraçarem a causa, mais crianças conseguiremos atender. E é satisfatório ver a felicidade nos olhos delas”, disse.
Copasa adere à ABCON para fortalecer avanço na universalização do saneamento em Minas Gerais;A Companhia de Saneamento de Minas Gerais (Copasa) formalizou, nesta sexta-feira (19/12), sua filiação à Associação Brasileira das Empresas de Saneamento (ABCON). A adesão à associação do setor reforça a estratégia da Companhia de ampliar o diálogo técnico, institucional e regulatório para o cumprimento das metas do Novo Marco Legal do Saneamento (Lei Federal nº 14.026/2020). A cerimônia de assinatura contou com a presença do diretor-presidente da Copasa, Fernando Passalio, que formalizou a filiação ao lado da diretora-presidente da ABCON, Christianne Dias Ferreira, e do presidente do Conselho de Administração da ABCON, Rogério de Paula Tavares. Também participaram o secretário de Estado Adjunto Frederico Amaral, representando a secretária de Estado de Desenvolvimento Econômico, Mila Corrêa da Costa, e a secretária de Estado de Meio Ambiente e Desenvolvimento Sustentável, Marília Melo. Com a adesão, a Copasa passa a integrar um ambiente de interlocução qualificada que atua na defesa dos interesses do setor junto aos poderes Executivo, Legislativo e Judiciário, além de acompanhar processos regulatórios, subsídios, consultas públicas da Agência Nacional de Águas e Saneamento Básico (ANA) e debates estratégicos para o desenvolvimento do saneamento no país. “Esta parceria com a ABCON representa um passo relevante da Copasa na agenda de modernização e fortalecimento institucional. A associação permite acesso a apoio multidisciplinar, estudos técnicos e articulação setorial voltados à atração de investimentos e estruturação de projetos que vão contribuir para aceleração da universalização dos serviços de água e esgoto em Minas Gerais”, destacou o presidente da Copasa, Fernando Passalio. Para o presidente do Conselho de Administração da ABCON, Rogério Tavares, a chegada da Copasa reforça a representatividade do setor em um dos mais importantes estados brasileiros. “A chegada da Copasa representa um marco para a ABCON, pois trará capilaridade aos temas setoriais. A ABCON inicia um novo ciclo com mais força para contribuir com as políticas públicas de saneamento básico”, afirmou. De acordo com a secretária de Estado de Meio Ambiente e Desenvolvimento Sustentável, Marília Melo, a parceria amplia o diálogo com o setor e fortalece a adoção de práticas sustentáveis na prestação dos serviços. “Esse é um passo importante para tornar a Copasa ainda mais preparada para os desafios da universalização do saneamento, com foco em eficiência, inovação e responsabilidade ambiental”, ressaltou. Mila Corrêa da Costa, secretária de Estado de Desenvolvimento Econômico, reforça que essa adesão fortalece a Copasa como uma empresa mais moderna, preparada para os desafios regulatórios e capaz de dialogar com as melhores práticas do setor. “A universalização do saneamento é prioridade máxima do Governo de Minas e exige inovação, governança e articulação institucional. Ao integrar a ABCON, a Copasa amplia sua capacidade técnica e estratégica para cumprir o Marco Legal do Saneamento e garantir mais dignidade e qualidade de vida aos mineiros”, explicou.
