Titulo;Categoria;Score
"Copasa passa a integrar o índice Ibovespa da B3";"MERCADO FINANCEIRO";"3.59"
"Copasa avança na agenda climática e integra índice ICO2 B3, referência na transição energética no Brasil";"SUSTENTABILIDADE";"3.85"
"Copasa celebra sucesso de público na Virada da Liberdade e reforça compromisso com a cultura mineira";"PATROCINIO";"3.55"
"Copasa alerta para consumo consciente de água durante onda de calor e chuvas esparsas";"FALTA DE AGUA";"1.55"
"Marília Carvalho de Melo assume presidência da Copasa";"MEIO AMBIENTE";"2.30"
"Copasa investe R$ 1,8 milhão para otimizar pressão da água no Alto Paranaíba";"SERVICOS";"3.18"
"Abastecimento de água é universalizado em distrito do Vale do Rio Doce";"SERVICOS";"2.63"
"Copasa entrega panetones à instituição filantrópica de Frutal";"ACAO SOCIAL";"3.08"
"Copasa abraça Natal Solidário e fortalece vínculo com comunidades de Araxá";"ACAO SOCIAL";"2.87"
"Copasa adere à ABCON para fortalecer avanço na universalização do saneamento em Minas Gerais";"INOVACAO";"2.81"
"Copasa instala “tanque pulmão” em ETE e reforça proteção ambiental no Triângulo";"SAUDE";"3.27"
"Copasa patrocina maior galeria urbana itinerante da Grande BH";"EXPOSICAO";"7.23"
"Copasa participa pelo 6º ano da Campanha Natal dos Correios em Divinópolis";"CAMPANHAS";"1.38"
"Copasa distribui presentes de Natal para alunos de escola pública em Patos de Minas";"ACAO SOCIAL";"1.87"
"Copasa dá passo decisivo para universalizar tratamento de esgoto em Madre de Deus de Minas";"INVESTIMENTO";"2.70"
"Copasa avança com obras de ampliação de abastecimento de água em Pouso Alegre";"INVESTIMENTO";"3.28"
"Copasa conclui obras de R$ 7,6 milhões na Estação de Tratamento de Esgoto de Paracatu";"SAUDE";"3.84"
"Copasa inicia obras de melhoria na Estação de Tratamento de Esgoto de Frutal";"QUALIDADE";"3.07"
"Pró-Mananciais celebra resultados e fortalece ações de preservação em Minas Gerais";"MEIO AMBIENTE";"3.43"
"Universaliza Minas leva água tratada a localidades no Vale do Rio Doce";"SAUDE";"2.94"
"O que é o Programa Universaliza Minas";"SAUDE";"3.52"
"Governo de Minas, em parceria com a Copasa, abre participação social para Diagnóstico da Lagoa da Pampulha";"EXPOSICAO";"1.27"
"Copasa se destaca no PNQS 2025 com premiação e cases de referência nacional";"QUALIDADE";"2.52"
"Copasa investe R$ 1,4 milhão para melhorar abastecimento de água em Luz";"SERVICOS";"1.72"
"Copasa mais perto: Agência Móvel atende moradores do Manoel Pimenta";"RELACIONAMENTO COM CLIENTE";"3.04"
"Agência Móvel";"RELACIONAMENTO COM CLIENTE";"1.90"
"Agência Móvel da Copasa realiza atendimentos em Frutal";"RELACIONAMENTO COM CLIENTE";"2.51"
"TarifaSocial";"RELACIONAMENTO COM CLIENTE";"1.10"
"Programa Engajar para Transformar";"RELACIONAMENTO COM CLIENTE";"2.28"
"Copasa conclui Sistema de Esgotamento Sanitário de Confins";"COLETA DE ESGOTO";"2.75"
"Copasa reduz emissões com tecnologia de queima enclausurada de biogás";"SUSTENTABILIDADE";"5.20"
"Materialidade e a Gestão da Sustentabilidade na Copasa";"SUSTENTABILIDADE";"3.52"
"Nova ETE transforma cenário do saneamento em Juatuba";"SAUDE";"3.31"
"Membros do CBH Velhas e subcomitê Águas da Moeda conhecem a ETE Jardim Canadá, em Nova Lima";"MEIO AMBIENTE";"2.30"
"Copasa bate novo recorde histórico e investe R$ 2 bilhões em apenas nove meses";"MERCADO FINANCEIRO";"2.35"
"Copasa investe mais de R$ 1 milhão em ações ambientais em Salinas";"MEIO AMBIENTE";"2.90"
"Copasa inicia obras para melhorar redes de água e esgoto em Jequitinhonha";"SERVICOS";"3.40"
"Após plano de ação bem-sucedido, Copasa reduz perdas de água em Conquista";"INOVACAO";"3.28"
"Obras de R$ 8,6 milhões beneficiarão 30 mil moradores na Bacia do São Francisco";"SERVICOS";"3.13"
"Polícia Civil e Copasa realizam operação Água Limpa em repressão a ‘gatos’ em Simonésia";"SERVICOS";"2.90"
