"1394ohci",""
"AcpiDev",""
"acpipagr",""
"AcpiPmi",""
"acpitime",""
"Acx01000",""
"AJRouter","Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run."
"ALG","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing"
"ALSysIO",""
"amdgpio2",""
"amdi2c",""
"AmdK8",""
"AmdPPM",""
"AppID","@%systemroot%\system32\srpapi.dll,-101"
"AppIDSvc","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced."
"Appinfo","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks."
"applockerfltr","@%systemroot%\system32\srpapi.dll,-103"
"AppMgmt","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start."
"AppReadiness","Gets apps ready for use the first time a user signs in to this PC and when adding new apps."
"AppvStrm","@%systemroot%\system32\drivers\AppvStrm.sys,-102"
"AppvVemgr","@%systemroot%\system32\drivers\AppvVemgr.sys,-102"
"AppvVfs","@%systemroot%\system32\drivers\AppvVfs.sys,-102"
"AppXSvc","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly."
"AssignedAccessManagerSvc","AssignedAccessManager Service supports kiosk experience in Windows."
"AsyncMac","@%systemroot%\system32\mprmsg.dll,-32000"
"AudioEndpointBuilder","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"Audiosrv","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"autotimesvc","This service sets time based on NITZ messages from a Mobile Network"
"AxInstSV","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings."
"BcastDVRUserService","@%SystemRoot%\system32\BcastDVRUserService.dll,-101"
"BcastDVRUserService_33233","This user service is used for Game Recordings and Live Broadcasts"
"bcmfn2",""
"BDESVC","BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality."
